card,effect
Double Iris Magician,"[ Pendulum Effect ]
Once per turn: You can target 1 DARK Spellcaster-Type monster you control; apply this effect to it, then destroy this card. Once applied, double any battle damage that monster inflicts to your opponent this turn if it battles an opponent's monster.
----------------------------------------
[ Monster Effect ]
(This card is always treated as a ""Pendulum Dragon"" card.)
If this card is destroyed by battle or card effect: You can add 1 ""Pendulumgraph"" card from your Deck to your hand."
Double Magical Arm Bind,"Tribute 2 monsters, then target 2 face-up monsters your opponent controls; take control of both targets until your End Phase."
Double or Nothing!,"When a monster's attack is negated: Target that monster; during this Battle Phase, it can attack once again, and if it does, its ATK is doubled during the Damage Step only."
Double Payback,"Activate only when you take 1000 or more damage from your opponent's card effect: Place 1 Payback Counter on this card for every 1000 damage you took. During the End Phase of your opponent's next turn: Destroy this card, and if you do, inflict 2000 damage to your opponent for each Payback Counter on this card."
Double Resonator,"If this card is Normal or Special Summoned: You can target 1 face-up monster on the field; that target is treated as a Tuner this turn. You can banish this card from your Graveyard, then target 1 Fiend-Type monster you control; that Fiend-Type monster is treated as a Tuner this turn. You can only use this effect of ""Double Resonator"" once per turn."
Double Shark,When this card is Normal Summoned: You can reduce the Levels of all Level 4 Fish-Type monsters you currently control by 1. This card can make a second attack during each Battle Phase.
Double Snare,Destroy 1 face-up card on the field that has an effect that negates Trap Cards' effects.
Double Spell,"Discard 1 Spell Card, then target 1 Spell Card in your opponent's Graveyard; place that target in the appropriate Zone on your side of the field, and as this card's effect resolution, follow its card text as if you had used it yourself."
Double Summon,"You can conduct 2 Normal Summons/Sets this turn, not just 1."
Double Tag Team,"Activate only when you successfully Special Summon a ""Gladiator Beast"" monster. Special Summon 1 Level 4 or lower ""Gladiator Beast"" monster from your hand or Deck."
Double Tool C&D,"Equip only to a ""Power Tool Dragon"" or Level 4 or higher Machine-Type ""Morphtronic"" monster you control. While equipped: ● During your turn: It gains 1000 ATK. If it attacks, any effects of the attack target that activate or apply on the field are negated during that Battle Phase. ● During your opponent's turn: Your opponent cannot select a monster other than the equipped monster as an attack target. An opponent's monster that battles the equipped monster is destroyed at the end of the Damage Step."
Double Trap Hole,If your opponent Special Summons a monster(s) in Defense Position: Banish those monster(s) that were Summoned in (and currently in) Defense Position.
Double-Edged Sword Technique,"Target 2 ""Six Samurai"" monsters in your Graveyard; Special Summon those targets in face-up Attack Position. During the End Phase of this turn, destroy them, and if you do, take damage equal to those destroyed monsters' ATK."
Doublebyte Dragon,"2 Link Monsters
Gains ATK equal to the total Link Rating of the monsters used for its Link Summon x 300. Unaffected by other monsters' effects, except Link Monsters'. Cannot be destroyed by battle, except with a Link Monster."
Downbeat,"Tribute 1 face-up monster; Special Summon from your Deck, 1 monster with the same original Type and Attribute that the Tributed monster had on the field, but 1 Level lower. You can only activate 1 ""Downbeat"" per turn."
Downerd Magician,"2 Level 4 Spellcaster-Type monsters
During your Main Phase 2, you can also Xyz Summon this card by using a Rank 3 or lower Xyz Monster you control as the Xyz Material. (Xyz Materials attached to that monster also become Xyz Materials on this card.) This card gains 200 ATK for each Xyz Material attached to it. If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent. If this card attacked or was attacked, after damage calculation: Detach 1 Xyz Material from this card."
Doyon @Ignister,"If this card is Normal or Special Summoned: You can target 1 ""@Ignister"" monster in your GY; add it to your hand. If this card is sent to the GY as material for the Link Summon of a Cyberse monster: You can target 1 ""A.I."" Spell/Trap in your GY; add it to your hand. You can only use each effect of ""Doyon @Ignister"" once per turn."
Dr. Frankenderp,"If this card is Normal or Special Summoned: You can pay 500 LP; look at the top card of your Deck, then place it on the bottom of your Deck, OR reveal it and add it to your hand, but skip your next Draw Phase if added to the hand. You can only use this effect of ""Dr. Frankenderp"" once per turn."
Draco Berserker of the Tenyi,"1 Tuner + 1+ non-Tuner monsters
When your opponent activates a monster's effect (Quick Effect): You can banish it. If this attacking card destroys an Effect Monster by battle and sends it to the GY: This card gains ATK equal to the destroyed monster's original ATK, also it can make a second attack on a monster during this Battle Phase. You can only use each effect of ""Draco Berserker of the Tenyi"" once per turn."
Draco Face-Off,"Reveal 1 ""Dracoslayer"" Pendulum Monster and 1 ""Dracoverlord"" Pendulum Monster from your Deck, your opponent randomly picks 1 of them for you to place in your Pendulum Zone or Special Summon (your choice), and you add the other card to your Extra Deck face-up. You can only activate 1 ""Draco Face-Off"" per turn."
Draco Masters of the Tenyi,"2+ monsters, including a Link Monster
Cannot be destroyed by battle with Effect Monsters. If you control no other Effect Monsters: You can destroy Effect Monsters your opponent controls, up to the number of non-Effect Monsters in your GY and/or face-up on your field. You can only use this effect of ""Tenyi Master of the Dragon Fist"" once per turn."
Dracocension,"Once per turn: You can Tribute 1 Dragon-Type monster that has a Level; Special Summon, from your Deck, 1 Wyrm-Type monster with the same Level as the Tributed monster's original Level, and if you do, any monster destroyed by battle with that monster is shuffled into the Deck instead of going to the Graveyard."
Draconnection,"Reveal 1 Dragon-Type monster in your hand, add 1 Dragon-Type monster with the same Level from your Deck to your hand, then shuffle the revealed monster into the Deck."
Draconnet,When this card is Normal Summoned: You can Special Summon 1 Level 2 or lower Normal Monster from your hand or Deck in Defense Position.
Dragard,"When this card is Normal Summoned: You can target 1 Normal Monster with 1000 or less ATK in your Graveyard; Special Summon that target in face-up Defense Position. Once per turn: You can Tribute 1 Dragon-Type monster, then target 1 face-up monster you control; until the End Phase, its Level becomes 8, and if it does, it gains 800 ATK."
Dragged Down into the Grave,"Both players reveal their hands, each player chooses 1 card from their opponent's hand, then you discard the chosen cards from both players' hands, then both players draw 1 card."
"Draghig, Malebranche of the Burning Abyss","If you control a monster that is not a ""Burning Abyss"" monster, destroy this card. You can only use 1 of these effects of ""Draghig, Malebranche of the Burning Abyss"" per turn, and only once that turn.
● If you control no Spell/Trap Cards: You can Special Summon this card from your hand.
● If this card is sent to the Graveyard: You can choose 1 ""Burning Abyss"" card from your Deck and place it on top of your Deck."
Dragocytos Corrupted Nethersoul Dragon,"1 DARK Tuner + 1 non-Tuner Dragon-Type monster
Cannot be destroyed by battle. When this card destroys an opponent's monster by battle and sends it to the Graveyard: You can activate this effect; this card can make a second attack on an opponent's monster in a row. During your Standby Phase: You can target 1 face-up monster your opponent controls; its ATK becomes half its current ATK, and if it does, inflict damage to your opponent equal to that lost ATK."
"Dragodies, the Empowered Warrior","[ Pendulum Effect ]
At the start of the Damage Step, if a monster you control battles an opponent's face-up monster: You can discard 1 card; the opponent's battling monster's ATK and DEF become half its current ATK and DEF (even if this card leaves the field).
----------------------------------------
[ Monster Effect ]
If this card in its owner's Monster Zone is destroyed by your opponent's attack or card effect: You can add 1 Warrior or Spellcaster-Type monster with 2000 or less ATK from your Deck to your hand, except ""Dragodies, the Empowered Warrior"", during the End Phase of this turn."
Dragon Buster Destruction Sword,"You can target 1 ""Buster Blader"" you control; equip this monster from your hand or your side of the field to that target. While this card is equipped to a monster, your opponent cannot Special Summon monsters from the Extra Deck. While this card is equipped to a monster: You can Special Summon this equipped card. You can only use this effect of ""Dragon Buster Destruction Sword"" once per turn."
Dragon Caller,"[Flip this card over when you activate this Skill.] 

Once per Duel, you can use 1 of the following Skills.
• If you successfully Normal Summon “Lord of D.”, add 1 “The Flute of Summoning Dragon” from your Deck or GY to your hand.
• Reveal “The Flute of Summoning Dragon” from your hand, then add 1 “Lord of D.” from your Deck or GY to your hand."
Dragon Capture Jar,"Change all face-up Dragon-Type monsters on the field to Defense Position, also they cannot change their battle positions."
Dragon Core Hexer,"Many years of dragonslaying have bathed this huntress in countless amounts of blood. Each drop gave her more power, but at a terrible price, as her cursed body now spreads the dragontaint like an epidemic. No village will take her in, and she no longer even remembers what inspired her crusade in the first place."
Dragon Dowser,"When this card is destroyed by battle and sent to the Graveyard, or when this card you control is destroyed by an opponent's card effect and sent to your Graveyard: You can Special Summon 1 EARTH Pendulum Monster from your Deck in Defense Position, but destroy it during the End Phase. You can only use this effect of ""Dragon Dowser"" once per turn."
Dragon Horn Hunter,"[ Pendulum Effect ]
All Normal Monsters gain 200 ATK. You take no battle damage from battles involving Normal Monsters you control.
----------------------------------------
[ Flavor Text ]
The horns were needed to prepare a medicine for her village, suffering from a plague. Unknown to her, the dragons burned and trampled her village, once displaced from their den."
Dragon Ice,"When your opponent Special Summons a monster (except during the Damage Step): You can discard 1 card; Special Summon this card from your hand or Graveyard. There can only be 1 ""Dragon Ice"" on the field."
Dragon Knight Draco-Equiste,"1 Dragon-Type Synchro Monster + 1 Warrior-Type monster
Must first be Fusion Summoned. Once per turn: You can target 1 Dragon-Type Synchro Monster in the Graveyard; banish that target, and if you do, until the End Phase, this card's name become that monster's, and replace this effect with that monster's original effects. While this card is in Attack Position, your opponent takes any effect damage you would have taken from their card effects, instead."
Dragon Knight of Creation,"Increase this card's Level by 4 during your opponent's turn only. When this card destroys an opponent's monster by battle and sends it to the Graveyard: You can send 1 Level 7 or 8 Dragon-Type monster from your Deck to the Graveyard. You can send 1 card from your hand to the Graveyard, then target 1 Level 7 or 8 Dragon-Type monster in your Graveyard; send this card to the Graveyard, and if you do, Special Summon that monster. You can only use this effect of ""Dragon Knight of Creation"" once per turn."
Dragon Laser,"Send 1 ""Trigon"" equipped to a face-up ""Delta Tri"" you control to the Graveyard, and destroy all monsters your opponent controls."
Dragon Manipulator,FLIP: Take control of 1 face-up Dragon-Type monster on your opponent's side of the field until the end of the End Phase.
Dragon Master Knight,"""Black Luster Soldier"" + ""Blue-Eyes Ultimate Dragon""
Must be Fusion Summoned and cannot be Special Summoned by other ways. This card gains 500 ATK for each Dragon-Type monster you control, except this card."
Dragon Mastery,"Each monster you control that is equipped with 1 or more ""Dragunity"" monster(s) gains 500 ATK. Once per turn, you can select 1 face-up monster you control, and equip it with 1 Dragon-Type ""Dragunity"" monster from your hand."
Dragon Piper,"FLIP: Destroy all face-up ""Dragon Capture Jar""(s) on the field. If you destroy any, change all face-up Dragon-Type monsters on the field to Attack Position."
Dragon Queen of Tragic Endings,"Cannot be Normal Summoned or Set. Must first be Special Summoned (from your hand) while you control 3 or more face-up Continuous Spell Cards. When this attacking card inflicts Battle Damage to your opponent: Your opponent sends 1 card from their hand to the Graveyard, then you draw 1 card. During your Standby Phase, if this card is in your Graveyard and was sent there from the field: You can send 1 face-up Continuous Spell Card you control to the Graveyard; Special Summon this card from the Graveyard."
Dragon Ravine,"Once per turn: You can discard 1 card, then activate 1 of these effects;
● Add 1 Level 4 or lower ""Dragunity"" monster from your Deck to your hand.
● Send 1 Dragon-Type monster from your Deck to the Graveyard."
Dragon Revival Rhapsody,"If you control a Spellcaster monster: You can target up to 2 Dragon monsters in your GY, including at least 1 Normal Monster; Special Summon them. Your opponent takes no damage this turn. You can only activate 1 ""Dragon Revival Rhapsody"" per turn."
Dragon Seeker,"When this card is Normal Summoned or Flip Summoned, destroy 1 face-up Dragon-Type monster on the field."
Dragon Shield,Equip only to a Dragon-Type monster. It cannot be destroyed by battle or by card effects. Neither player takes any battle damage from attacks involving it.
Dragon Shrine,"Send 1 Dragon-Type monster from your Deck to the Graveyard, then, if that monster in your Graveyard is a Dragon-Type Normal Monster, you can send 1 more Dragon-Type monster from your Deck to the Graveyard. You can only activate 1 ""Dragon Shrine"" per turn."
Dragon Spirit of White,"(This card is always treated as a ""Blue-Eyes"" card.)
This card is treated as a Normal Monster while in the hand or Graveyard. When this card is Normal or Special Summoned: You can target 1 Spell/Trap Card your opponent controls; banish it. During either player's turn, if your opponent controls a monster: You can Tribute this card; Special Summon 1 ""Blue-Eyes White Dragon"" from your hand."
Dragon Statue,A stone warrior with the heart of a dragon.
Dragon Treasure,A Dragon-Type monster equipped with this card increases its ATK and DEF by 300 points.
Dragon Zombie,A dragon revived by sorcery. Its breath is highly corrosive.
Dragon's Bind,"Activate this card by targeting 1 Dragon-Type monster you control with 2500 or less ATK and DEF; neither player can Special Summon monsters with ATK less than or equal to the original ATK of that monster. When that monster leaves the field, destroy this card."
Dragon's Fighting Spirit,"Target 1 Dragon-Type monster you control that was Special Summoned this turn; for each monster your opponent currently controls that was Special Summoned this turn, it gains 1 additional attack during each Battle Phase this turn."
Dragon's Gunfire,"If you control a Dragon-Type monster: Activate 1 of these effects.
● Inflict 800 damage to your opponent.
● Target 1 monster with 800 or less DEF; destroy that target."
Dragon's Mirror,"Fusion Summon 1 Dragon-Type Fusion Monster from your Extra Deck, by banishing Fusion Materials listed on it from your field or Graveyard."
Dragon's Rage,Dragon-Type monsters you control inflict piercing Battle Damage when they attack a Defense Position monster.
Dragon's Rebirth,"Target 1 Dragon-Type monster you control; banish that target, and if you do, Special Summon 1 Dragon-Type monster from your hand or Graveyard."
Dragoncaller Magician,"[ Pendulum Effect ]
Once per turn: You can target 1 face-up monster on the field; it becomes Dragon-Type until the end of your opponent's turn (even if this card leaves the field).
----------------------------------------
[ Monster Effect ]
Once per turn: You can make this card become Dragon-Type until the end of this turn. A monster that was Fusion, Synchro, or Xyz Summoned using this card on the field as Material gains this effect.
● If this card battles a Dragon-Type monster, this card's ATK becomes double its original ATK during the Damage Step only."
Dragoncarnation,Target 1 of your banished Dragon-Type monsters; add that target to your hand.
Dragonecro Nethersoul Dragon,"2 Zombie-Type monsters
Must first be Fusion Summoned. Monsters cannot be destroyed by battle with this card. At the end of the Damage Step, if this card battled a monster that has an original Level: That monster's ATK becomes 0, also, if that monster is still face-up on the field, Special Summon 1 ""Dark Soul Token"" (Zombie-Type/DARK/Level ?/ATK ?/DEF 0). (When Summoned, its Level and ATK become equal to the original Level and ATK of that monster.) You can only control 1 ""Dragonecro Nethersoul Dragon""."
Dragoness the Wicked Knight,"""Armaill"" + ""One-Eyed Shield Dragon"""
Dragong,"This gong harbors the soul of an untamed dragon. It soars through the skies with an incredible roar, marshaling all those who hear its call to battle."
Dragonic Attack,This card can only be used to equip Warrior-Type monsters. The equipped monster is treated as a Dragon-Type and increases the ATK and DEF of the equipped monster by 500 points.
Dragonic Diagram,"All ""True Draco"" and ""True King"" monsters on the field gain 300 ATK and DEF. The first time each Tribute Summoned ""True Draco"" or ""True King"" monster would be destroyed by battle each turn, it is not destroyed. Once per turn: You can destroy 1 other card you control or in your hand, and if you do, add 1 ""True Draco"" or ""True King"" card from your Deck to your hand."
Dragonic Guard,"Each time a monster is Normal Summoned or Set, place 1 Dragonic Counter on this card. You can send this face-up card to the Graveyard to Special Summon 1 Dragon-Type monster from your Deck whose Level is less than or equal to the number of Dragonic Counters on this card."
Dragonic Knight,"When the effect of an opponent's monster is activated that targets and destroys a card(s) you control, you can send the targeted card(s) to the Graveyard to Special Summon this card from your hand."
Dragonic Tactics,Tribute 2 Dragon-Type monsters; Special Summon 1 Level 8 Dragon-Type monster from your Deck.
Dragonmaid Erde,"Cannot be destroyed by card effects while you control a Fusion Monster. You can only use each of the following effects of ""Dragonmaid Erde"" once per turn.
● (Quick Effect): You can discard this card; Special Summon 1 Level 4 or lower ""Dragonmaid"" monster from your hand.
● At the end of the Battle Phase: You can return this card to the hand, and if you do, Special Summon 1 Level 2 ""Dragonmaid"" monster from your hand."
Dragonmaid Flamme,"Cannot be destroyed by card effects while you control a Fusion Monster. You can only use each of the following effects of ""Dragonmaid Flamme"" once per turn.
● (Quick Effect): You can discard this card, then target 1 ""Dragonmaid"" monster you control; it gains 2000 ATK until the end of this turn.
● At the end of the Battle Phase: You can return this card to the hand, and if you do, Special Summon 1 Level 3 ""Dragonmaid"" monster from your hand."
Dragonmaid Fluss,"Cannot be destroyed by card effects while you control a Fusion Monster. You can only use each of the following effects of ""Dragonmaid Fluss"" once per turn.
● You can discard this card, then target 1 monster in either GY; shuffle it into the Deck.
● At the end of the Battle Phase: You can return this card to the hand, and if you do, Special Summon 1 Level 2 ""Dragonmaid"" monster from your hand."
Dragonmaid Hauskee,"1 ""Dragonmaid"" monster + 1 Dragon monster
Once per turn, during the Standby Phase: You can target 1 other ""Dragonmaid"" monster you control; Special Summon in Defense Position 1 ""Dragonmaid"" monster from your hand or GY whose Level is 1 higher or lower than that monster. If another face-up Dragon monster(s) you control returns to your hand: You can target 1 monster your opponent controls; destroy it."
Dragonmaid Laudry,"If this card is Normal or Special Summoned: You can send the top 3 cards of your Deck to the GY. At the start of the Battle Phase: You can return this card to the hand, and if you do, Special Summon 1 Level 7 ""Dragonmaid"" monster from your hand or GY. You can only use each effect of ""Dragonmaid Laudry"" once per turn."
Dragonmaid Luft,"Cannot be destroyed by card effects while you control a Fusion Monster. You can only use each of the following effects of ""Dragonmaid Luft"" once per turn.
● You can discard this card, then target 1 face-up monster on the field; that target's effects that activate on the field cannot be activated this turn.
● At the end of the Battle Phase: You can return this card to the hand, and if you do, Special Summon 1 Level 3 ""Dragonmaid"" monster from your hand."
Dragonmaid Nasary,"If this card is Normal or Special Summoned: You can target 1 Level 4 or lower ""Dragonmaid"" monster in your GY, except ""Dragonmaid Nasary""; Special Summon it. At the start of the Battle Phase: You can return this card to the hand, and if you do, Special Summon 1 Level 7 ""Dragonmaid"" monster from your hand or GY. You can only use each effect of ""Dragonmaid Nasary"" once per turn."
Dragonmaid Parla,"If this card is Normal or Special Summoned: You can send 1 ""Dragonmaid"" card from your Deck to the GY, except ""Dragonmaid Parla"". At the start of the Battle Phase: You can return this card to the hand, and if you do, Special Summon 1 Level 8 ""Dragonmaid"" monster from your hand or GY. You can only use each effect of ""Dragonmaid Parla"" once per turn."
Dragonmaid Reception,"Monsters you control gain 100 ATK/DEF for each ""Dragonmaid"" monster you control. If you control 2 or more ""Dragonmaid"" monsters: You can target 1 ""Dragonmaid"" card in your GY, except ""Dragonmaid Reception""; add it to your hand. You can only use this effect of ""Dragonmaid Reception"" once per turn. If this card is sent to the GY: This turn, your opponent cannot target ""Dragonmaid"" monsters you control with card effects."
Dragonmaid Relaxation,"You can target 1 ""Dragonmaid"" monster you control, then activate 1 of these effects;
● Return it to the hand, and if you do, add 1 ""Dragonmaid"" card from your Deck to your hand, except ""Dragonmaid Relaxation"".
● Return it to the hand, and if you do, return 1 Spell/Trap your opponent controls to the hand.
You can only use this effect of ""Dragonmaid Relaxation"" once per turn."
Dragonmaid Tillroo,"If this card is Normal or Special Summoned: You can add 1 ""Dragonmaid"" monster from your Deck to your hand, except ""Dragonmaid Tillroo"", then send 1 ""Dragonmaid"" monster from your hand to the GY. At the start of the Battle Phase: You can return this card to the hand, and if you do, Special Summon 1 Level 8 ""Dragonmaid"" monster from your hand or GY. You can only use each effect of ""Dragonmaid Tillroo"" once per turn."
Dragonmaids' Hospitality,"Special Summon 1 ""Dragonmaid"" monster from your hand or GY in Defense Position, then you can send 1 ""Dragonmaid"" monster from your Deck to the GY with the same Attribute but a different Level. You can only activate 1 ""Dragonmaids' Hospitality"" per turn."
Dragonmaids' Sendoff,"Target 1 ""Dragonmaid"" monster you control; Special Summon 1 ""Dragonmaid"" monster with a different name from your hand in Defense Position, and if you do, return the targeted monster to the hand, also the Special Summoned monster cannot be destroyed by battle or card effects until the end of the next turn. You can only activate 1 ""Dragonmaids' Sendoff"" per turn."
Dragonmaids' Uniform-Change,"Fusion Summon 1 Dragon Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Material. If this card is in your GY: You can target 1 ""Dragonmaid"" monster you control; add this card to your hand, and if you do, return that monster to the hand. You can only use this effect of ""Dragonmaids' Uniform-Change"" once per turn."
Dragonoid Generator,"Activate this card by paying 1000 LP. During your Main Phase: You can Special Summon 1 ""Dragonoid Token"" (Machine/EARTH/Level 1/ATK 300/DEF 300) in Attack Position, you cannot Special Summon monsters from the Extra Deck for the rest of this turn, also during the End Phase your opponent Special Summons 1 ""Dragonoid Token"" to their field in Attack Position (even if this card leaves the field). You can use this effect of ""Dragonoid Generator"" up to twice per turn."
Dragonoid Token,"This card can be used as a ""Dragonoid Token"".


● If used for another Token, apply that Token's Type / Attribute / Level / ATK / DEF."
"Dragonox, the Empowered Warrior","[ Pendulum Effect ]
When an opponent's monster declares an attack: You can destroy this card, then end the Battle Phase.
----------------------------------------
[ Monster Effect ]
Once per turn: You can discard 1 card, then target 1 Warrior or Spellcaster-Type monster with 2000 or less ATK in your Graveyard; Special Summon it in face-down Defense Position."
Dragonpit Magician,"[ Pendulum Effect ]
Once per turn, if you have a ""Magician"" card in your other Pendulum Zone: You can discard 1 Pendulum Monster, then target 1 Spell/Trap Card on the field; destroy it.
----------------------------------------
[ Flavor Text ]
This gifted magician can awaken the energy stored in the deep places of the earth, known as the Pits of the Dragon. His stoic approach wins him few friends, and he often bends to the desires of his pupil."
Dragonpulse Magician,"[ Pendulum Effect ]
Once per turn, if you have a ""Magician"" card in your other Pendulum Zone: You can discard 1 Pendulum Monster, then target 1 face-up monster on the field; destroy it.
----------------------------------------
[ Flavor Text ]
This boy magician has the gift of seeing the natural lines of energy that run through the earth, which his people call the Pulse of the Dragon. His exuberance and skill put him in high regard with his mentor, the ""Dragonpit Magician""."
Dragoons of Draconia,"[ Pendulum Effect ]
Once per turn, if a Normal Monster you control destroys an opponent's monster by battle, after damage calculation: You can add 1 Level 4 or higher Normal Monster from your Deck to your hand.
----------------------------------------
[ Flavor Text ]
Armed with muskets and iron spears, these mounted land troops of the Draconia Empire are feared by the Reptier Kingdom and other bordering nations."
Dragoroar,"Banish 1 EARTH, 1 WATER, 1 FIRE, and 1 WIND monster from your Graveyard; shuffle 1 card on the field into the Deck."
Dragun of Red-Eyes,"""Dark Magician"" + ""Red-Eyes B. Dragon"" or 1 Dragon Effect Monster
Neither player can target this card with card effects, also it cannot be destroyed by card effects. During your Main Phase: You can destroy 1 monster your opponent controls, and if you do, inflict damage to your opponent equal to that monster's original ATK. You can use this effect a number of times per turn, up to the number of Normal Monsters used as Fusion Material for this card's Summon. Once per turn, when a card or effect is activated (Quick Effect): You can discard 1 card; negate the activation, and if you do, destroy that card, and if you do that, this card gains 1000 ATK."
Dragunity Aklys,"When this card is Normal Summoned, you can Special Summon 1 ""Dragunity"" monster from your hand, then equip it with this card. When this card is sent to the Graveyard while equipped to a monster, select 1 card on the field, and destroy it."
Dragunity Angusticlavii,"If this card is equipped with a Dragon-Type ""Dragunity"" monster, during battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent."
Dragunity Arma Leyvaten,"You can Special Summon this card from your hand or your Graveyard by removing from play 1 face-up monster you control equipped with a ""Dragunity"" card(s). When this card is Normal or Special Summoned, you can select 1 Dragon-Type monster in your Graveyard, except ""Dragunity Arma Leyvaten"", and equip it to this card. When this card is sent to the Graveyard by your opponent's card effect, you can select 1 of the monsters that were equipped to this card when it was sent to the Graveyard, and Special Summon that monster from the Graveyard."
Dragunity Arma Mystletainn,"You can Special Summon this card from your hand by sending 1 face-up ""Dragunity"" monster you control to the Graveyard. When this card is Normal or Special Summoned from the hand, you can select 1 Dragon-Type ""Dragunity"" monster in your Graveyard, and equip it to this card."
Dragunity Brandistock,"While this card is equipped to a monster, that monster can attack twice during each Battle Phase."
Dragunity Corsesca,"This effect can only be activated while this card is equipped to a monster. If the equipped monster destroys an opponent's monster by battle, you can add 1 Level 4 or lower monster from your Deck to your hand with the same Type and Attribute as the monster this card is equipped to."
Dragunity Couse,"Cannot be used as Synchro Material, except for the Synchro Summon of a ""Dragunity"" monster. This card on the field can be treated as Level as 4 when used for a Synchro Summon. If this card is currently equipped to a monster: You can Special Summon this equipped card."
Dragunity Darkspear,"Once per turn, you can Tribute 1 Dragon-Type ""Dragunity"" monster to select 1 Level 4 or lower Winged Beast-Type monster in your Graveyard, and Special Summon it."
Dragunity Divine Lance,"Equip only to a ""Dragunity"" monster. It gains ATK equal to its Level x 100, also it is unaffected by Trap effects. During your Main Phase: You can equip 1 Dragon-Type ""Dragunity"" Tuner monster from your Deck to the monster equipped with this card. You can only use this effect of ""Dragunity Divine Lance"" once per turn."
Dragunity Dux,"This card gains 200 ATK for each face-up ""Dragunity"" card you control. When this card is Normal Summoned, you can select 1 Level 3 or lower Dragon-Type ""Dragunity"" monster in your Graveyard and equip it as an Equip Card to this card."
Dragunity Javelin,"If this face-up card is destroyed while in the Monster Card Zone, you can equip it to 1 face-up Winged Beast-Type ""Dragunity"" monster you control, instead of sending it to the Graveyard."
Dragunity Knight - Ascalon,"1 ""Dragunity"" Tuner + 1+ non-Tuner monsters
You can banish 1 ""Dragunity"" monster from your GY, then target 1 monster your opponent controls; banish it. If this Synchro Summoned card in its owner's control is destroyed by an opponent's card (by battle or card effect): You can Special Summon 1 ""Dragunity"" Synchro Monster with 3000 or less ATK from your Extra Deck. (This is treated as a Synchro Summon.) You can only use this effect of ""Dragunity Knight - Ascalon"" once per turn."
Dragunity Knight - Barcha,"1 Dragon-Type Tuner + 1 or more non-Tuner Winged Beast-Type monsters
When this card is Synchro Summoned, you can select any number of Dragon-Type ""Dragunity"" monsters in your Graveyard, and equip them to this card. This card gains 300 ATK for each ""Dragunity"" card equipped to this card."
Dragunity Knight - Gae Bulg,"1 Dragon-Type Tuner + 1 or more non-Tuner Winged Beast-Type monsters 
 If this card attacks or is attacked, during the Damage Step you can remove from play 1 (only) Winged Beast-Type monster from your Graveyard, to have this card gain the ATK of that monster until the End Phase."
Dragunity Knight - Gae Dearg,"1 Dragon-Type Tuner + 1 or more non-Tuner Winged Beast-Type monsters
Once per turn, during your Main Phase, you can add 1 Level 4 or lower Dragon-Type or Winged Beast-Type monster from your Deck to your hand. Then discard 1 Dragon-Type or Winged Beast-Type monster."
Dragunity Knight - Luin,"1 ""Dragunity"" Tuner + 1+ non-Tuner monsters
If this card is Special Summoned: You can target 1 ""Dragunity"" monster in your GY; equip it to this card. If this card is sent to the GY: You can target 1 ""Dragunity"" monster you control; equip this card to that target. It gains 1000 ATK/DEF. You can only use each effect of “Dragunity Knight - Luin” once per turn."
Dragunity Knight - Romulus,"2 Dragon and/or Winged Beast monsters, except Tokens
If this card is Link Summoned: You can add 1 ""Dragunity"" Spell/Trap or ""Dragon Ravine"" from your Deck to your hand. If a Dragon monster(s) is Special Summoned from the Extra Deck to a zone(s) this card points to (except during the Damage Step): You can Special Summon 1 Dragon or Winged Beast monster from your hand in Defense Position, but for the rest of this turn, its effects are negated, also it cannot be used as Link Material. You can only use each effect of ""Dragunity Knight - Romulus"" once per turn."
Dragunity Knight - Trident,"1 Dragon-Type Tuner + 1 or more non-Tuner Winged Beast-Type monsters
Once per turn, you can send up to 3 cards you control to the Graveyard to look at your opponent's Extra Deck and send an equal number of cards to the Graveyard."
Dragunity Knight - Vajrayana,"1 Dragon-Type Tuner + 1 or more non-Tuner Winged Beast-Type monsters
When this card is Synchro Summoned: You can target 1 Level 3 or lower Dragon-Type ""Dragunity"" monster in your Graveyard; equip that target to this card. Once per turn: You can send 1 Equip Card equipped to this card to the Graveyard; double this card's ATK until the End Phase."
Dragunity Legion,"You can activate 1 of these effects, also you cannot Special Summon monsters for the rest of this turn, except ""Dragunity"" monsters. You can only use this effect of ""Dragunity Legion"" once per turn.
● Target 1 ""Dragunity"" Monster Card in your Spell & Trap Zone; Special Summon it in Defense Position.
● Target 1 ""Dragunity"" monster you control; equip 1 ""Dragunity"" monster from your GY to that target."
Dragunity Legionnaire,"When this card is Normal Summoned, you can select 1 Level 3 or lower ""Dragunity"" Dragon-Type monster in your Graveyard, and equip it to this card as an Equip Card. You can send 1 ""Dragunity"" card from your Spell & Trap Card Zone to the Graveyard to select 1 face-up monster your opponent controls, and destroy it."
Dragunity Militum,"Once per turn, you can select 1 ""Dragunity"" card in your Spell & Trap Card Zone, and Special Summon it."
Dragunity Partisan,"When this card is Normal Summoned, you can Special Summon 1 Winged Beast-Type ""Dragunity"" monster from your hand, then equip this card to it as an Equip Card. If this card is equipped as an Equip Card to a monster, the equipped monster is treated as a Tuner monster."
Dragunity Phalanx,"Once per turn, while this card is equipped to a monster as an Equip Card by a card effect, you can Special Summon this card."
